frame,emotion,gaze_x,gaze_y,AU_0,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7
143,7,-0.0289124231785535,0.0211124457418918,0.0,0.0,0.0,0.0,0.0,0.007040076889097691,0.017716001719236374,0.0032203381415456533
144,7,-0.0244519487023353,-0.0103263072669506,0.0,0.0,0.0,0.0,0.0,0.004834202583879232,0.005598750431090593,0.0023739500902593136
145,7,-0.0303206536918878,-0.0037011364474892,0.0,0.0,0.0,0.0,0.0,0.006698581390082836,0.010739995166659355,0.0019943781662732363
146,7,-0.0251818522810935,-0.0169970467686653,0.0,0.0,0.0,0.0,0.0,0.006702091544866562,0.02326233498752117,0.003500614082440734
147,7,-0.0133591387420892,-0.0215264186263084,0.0,0.0,0.0,0.0,0.0,0.0024239071644842625,0.004438769072294235,0.003081707749515772
148,7,-0.020950311794877,-0.0207449086010456,0.0,0.0,0.0,0.0,0.0,0.0058543020859360695,0.01177410501986742,0.004463942255824804
149,0,-0.0199125073850154,0.02260597422719,0.0,0.0,0.0,0.0,0.0,0.00320984679274261,0.013593698851764202,0.003441503271460533
150,0,-0.0117580220103263,-0.0330323949456214,0.0,0.0,0.0,0.0,0.0,0.005648728460073471,0.1340126395225525,0.003446524729952216
151,7,-0.013205723837018,-0.0314702987670898,0.0,0.0,0.0,0.0,0.0,0.0033484441228210926,0.014286823570728302,0.0019016583682969213
152,0,-0.0120017882436513,-0.002243529073894,0.0,0.0,0.0,0.0,0.0,0.0005739208427257836,0.009649388492107391,0.0014416255289688706
153,0,-0.0067959725856781,-0.0004220893606543,0.0,0.0,0.0,0.0,0.0,0.009909741580486298,0.03344419598579407,0.003886655205860734
154,0,-0.0025596097111701,-0.0150402905419468,0.0,0.0,0.0,0.0,0.0,0.0026376922614872456,0.006411553360521793,0.0009319825330749154
155,7,-0.009969588369131,-0.0288442708551883,0.0,0.00023600041458848864,0.0,0.0,0.0,0.005100579001009464,0.010615584440529346,0.001911353669129312
156,7,-0.0180738419294357,0.0336571224033832,0.0,0.001368692028336227,0.0,0.0,0.0,0.00748323742300272,0.012557357549667358,0.002888857387006283
157,7,-0.0043848231434822,-0.0028685005381703,0.0,0.0,0.0,0.0,0.0,0.005138435401022434,0.010404436849057674,0.0015363190323114395
158,0,-0.0171728823333978,0.0377746261656284,0.0,0.0,0.0,0.0,0.0,0.004522108472883701,0.014638611115515232,0.00406856182962656
159,7,-0.0269799791276454,0.029742743819952,0.0,0.0,0.0,0.0,0.0,0.012899665161967278,0.12765797972679138,0.004208791069686413
160,7,-0.0245219655334949,0.0037338503170758,0.0034512358251959085,0.002852939534932375,0.0,0.0006988447858020663,0.0,0.021160807460546494,0.04631415009498596,0.002685129176825285
161,7,0.0001964420080184,-0.0247511379420757,0.00029590335907414556,0.0,0.0,0.0,0.0,0.01912268064916134,0.0751941129565239,0.007623787969350815
162,7,-0.0012770816683769,-0.0547285601496696,0.0,4.604028072208166e-05,0.0,0.0,0.0,0.005019389092922211,0.01104957889765501,0.004323160741478205
163,7,-0.0061639323830604,-0.0370738320052623,0.0,0.0,0.0,0.0,0.0,0.0038410788401961327,0.008053998462855816,0.002463466953486204
164,7,-0.0192173793911933,0.021252118051052,0.0,0.0,0.0,0.0006001215660944581,0.0,0.02335526794195175,0.017086725682020187,0.003994464408606291
165,7,-0.0398209504783153,0.050829891115427,0.0,0.0,0.0,0.009126863442361355,0.0,0.08823733031749725,0.0240242388099432,0.006222792435437441
166,7,-0.0404108874499797,0.114344872534275,0.0,0.0,0.0,0.006112033501267433,0.0,0.05624827742576599,0.06537570059299469,0.010004285722970963
167,7,-0.0404311493039131,0.1174089387059211,0.0,0.0,0.0,0.0,0.0,0.020579222589731216,0.022746572270989418,0.008126679807901382
168,7,-0.040408544242382,0.1139906793832779,0.0,0.0,0.0,0.0,0.0,0.03137695789337158,0.05110426992177963,0.005738853942602873
169,7,-0.0498369745910167,0.1197532340884208,0.0,0.0,0.0,0.0,0.0,0.013419898226857185,0.017295153811573982,0.004984309896826744
170,7,-0.0401946529746055,0.0816499888896942,0.0,0.0,0.0,0.0001999732048716396,0.0,0.027923354879021645,0.26331260800361633,0.009376601316034794
171,7,-0.0402869582176208,0.0956063643097877,0.0,0.0,0.0,0.0,0.0,0.018252935260534286,0.16340580582618713,0.005344646982848644
172,7,-0.1367903649806976,0.1645648926496505,0.003183384658768773,0.0018713531317189336,0.0,0.00024273362942039967,0.0,0.04816851019859314,0.23578830063343048,0.010075575672090054
173,7,-0.1569575667381286,0.1810082644224167,0.004157756455242634,0.0020409030839800835,0.0,0.0052201817743480206,0.0,0.05753863602876663,0.3347151279449463,0.005621048156172037
174,7,-0.1818786263465881,0.2339887022972107,0.0019110938301309943,0.0,0.0,0.003262706333771348,0.0,0.07577542960643768,0.3444666266441345,0.007125580683350563
175,7,-0.0857447162270546,0.1614697128534317,0.0,0.0,0.0,0.0035783033818006516,0.0,0.10680069029331207,0.22373662889003754,0.006110949907451868
176,7,-0.040121667087078,0.0706141367554664,0.0,0.0,0.0,0.0,0.0,0.054797254502773285,0.17668722569942474,0.0011102835414931178
177,7,-0.0394441410899162,0.0082350308075547,0.0,0.0,0.0,0.0,0.0,0.03700154274702072,0.03354429081082344,0.0027988015208393335
178,7,-0.0605372190475463,0.0657724291086196,0.0,0.0,0.0,0.0003501279279589653,0.0,0.061327289789915085,0.24466443061828613,0.009433499537408352
179,7,-0.047863095998764,0.06559619307518,0.0,0.0,0.0,0.004803119692951441,0.0,0.06847585737705231,0.47027841210365295,0.007613158784806728
180,7,-0.0399896278977394,0.0506492815911769,0.0,0.0,0.0,0.0010200587566941977,0.0,0.056053996086120605,0.030357180163264275,0.009257558733224869
181,7,-0.0281575676053762,0.0781207904219627,0.0002627043577376753,0.0,0.0,0.0004036983591504395,0.0,0.036571018397808075,0.09480120241641998,0.004896770231425762
182,7,-0.0400580428540706,0.0609937012195587,0.0,0.0,0.0,0.0,0.0,0.05932047590613365,0.1354740709066391,0.010953938588500023
183,7,-0.0398860201239585,0.0349833220243454,0.0,0.0,0.0,0.0,0.0,0.0469139963388443,0.11500116437673569,0.005087596829980612
184,7,-0.0401077233254909,0.0685060322284698,0.0,0.0,0.0,0.0013424186035990715,0.0,0.14803406596183777,0.09308670461177826,0.012583361007273197
185,7,-0.0400366447865963,0.057758655399084,0.0,0.0,0.0,0.0,0.0,0.06594236195087433,0.09792754054069519,0.00962989404797554
186,7,-0.0398705564439296,0.032645609229803,0.0,0.0,0.0,0.0012211085995659232,0.0,0.07044757157564163,0.11311206966638565,0.014649022370576859
187,7,-0.0398909822106361,0.0357336513698101,0.0,0.0,0.0,0.0,0.0,0.02231801114976406,0.03937945142388344,0.004336797632277012
188,7,-0.0400815121829509,0.0645427331328392,0.0,0.0,0.0,0.0,0.0,0.023463109508156776,0.03067879006266594,0.002350124064832926
